,TEAM,FROM,TO,URL
38,Toronto Raptors,2022,2022,/players/a/achiupr01.html
39,Detroit Pistons,2006,2009,/players/a/ackeral01.html
40,Los Angeles Clippers,2009,2009,/players/a/ackeral01.html
41,New York Knicks,1954,1954,/players/a/ackerdo01.html
42,Boston Celtics,1988,1989,/players/a/acresma01.html
43,Orlando Magic,1990,1992,/players/a/acresma01.html
44,Houston Rockets,1993,1993,/players/a/acresma01.html
45,Washington Bullets,1993,1993,/players/a/acresma01.html
46,San Diego Rockets,1968,1968,/players/a/actonbu01.html
47,Toronto Raptors,2013,2014,/players/a/acyqu01.html
48,Sacramento Kings,2014,2014,/players/a/acyqu01.html
49,New York Knicks,2015,2015,/players/a/acyqu01.html
50,Sacramento Kings,2016,2016,/players/a/acyqu01.html
51,Dallas Mavericks,2017,2017,/players/a/acyqu01.html
52,Brooklyn Nets,2017,2018,/players/a/acyqu01.html
53,Phoenix Suns,2019,2019,/players/a/acyqu01.html
54,Phoenix Suns,1976,1988,/players/a/adamsal01.html
55,San Diego Rockets,1971,1971,/players/a/adamsdo01.html
56,Houston Rockets,1972,1972,/players/a/adamsdo01.html
57,Atlanta Hawks,1972,1972,/players/a/adamsdo01.html
58,Atlanta Hawks,1973,1973,/players/a/adamsdo01.html
59,Detroit Pistons,1973,1975,/players/a/adamsdo01.html
60,Spirits of St. Louis,1975,1976,/players/a/adamsdo01.html
61,Buffalo Braves,1976,1977,/players/a/adamsdo01.html
62,San Diego Conquistadors,1973,1975,/players/a/adamsge01.html
63,San Diego Conquistadors,1974,1974,/players/a/adamsge01.html
64,New Jersey Nets,2007,2007,/players/a/adamsha01.html
65,Toronto Raptors,2009,2009,/players/a/adamsha01.html
66,Atlanta Hawks,2019,2019,/players/a/adamsja01.html
67,Portland Trail Blazers,2020,2020,/players/a/adamsja01.html
68,Milwaukee Bucks,2021,2021,/players/a/adamsja01.html
69,Memphis Grizzlies,2015,2016,/players/a/adamsjo01.html
70,Sacramento Kings,1986,1986,/players/a/adamsmi01.html
71,Washington Bullets,1987,1987,/players/a/adamsmi01.html
72,Denver Nuggets,1988,1991,/players/a/adamsmi01.html
73,Washington Bullets,1992,1994,/players/a/adamsmi01.html
74,Charlotte Hornets,1995,1996,/players/a/adamsmi01.html
75,Oklahoma City Thunder,2014,2020,/players/a/adamsst01.html
76,New Orleans Pelicans,2021,2021,/players/a/adamsst01.html
77,Memphis Grizzlies,2022,2022,/players/a/adamsst01.html
78,Phoenix Suns,1987,1987,/players/a/addisra01.html
79,New Jersey Nets,1992,1993,/players/a/addisra01.html
80,Detroit Pistons,1995,1995,/players/a/addisra01.html
81,Charlotte Hornets,1996,1997,/players/a/addisra01.html
82,Miami Heat,2018,2022,/players/a/adebaba01.html
83,Cleveland Cavaliers,2019,2019,/players/a/adelde01.html
84,San Diego Rockets,1969,1970,/players/a/adelmri01.html
85,Portland Trail Blazers,1971,1973,/players/a/adelmri01.html
86,Chicago Bulls,1974,1974,/players/a/adelmri01.html
87,Chicago Bulls,1974,1975,/players/a/adelmri01.html
88,New Orleans Jazz,1975,1975,/players/a/adelmri01.html
89,Kansas City-Omaha Kings,1975,"Omaha Kings, 1975",/players/a/adelmri01.html
90,Golden State Warriors,2011,2011,/players/a/adrieje01.html
91,Houston Rockets,2012,2012,/players/a/adrieje01.html
92,Charlotte Bobcats,2013,2014,/players/a/adrieje01.html
93,Milwaukee Bucks,2014,2014,/players/a/adrieje01.html
94,Minnesota Timberwolves,2015,2015,/players/a/adrieje01.html
95,Detroit Pistons,2008,2009,/players/a/afflaar01.html
96,Denver Nuggets,2010,2012,/players/a/afflaar01.html
97,Orlando Magic,2013,2018,/players/a/afflaar01.html
98,Denver Nuggets,2015,2015,/players/a/afflaar01.html
99,Portland Trail Blazers,2015,2015,/players/a/afflaar01.html
100,New York Knicks,2016,2016,/players/a/afflaar01.html
101,Sacramento Kings,2017,2017,/players/a/afflaar01.html
102,Dallas Mavericks,2007,2008,/players/a/agerma01.html
103,New Jersey Nets,2008,2009,/players/a/agerma01.html
104,Minnesota Timberwolves,2011,2011,/players/a/agerma01.html
105,Dallas Mavericks,1982,1989,/players/a/aguirma01.html
106,Detroit Pistons,1989,1992,/players/a/aguirma01.html
107,Detroit Pistons,1993,1993,/players/a/aguirma01.html
108,Los Angeles Clippers,1994,1994,/players/a/aguirma01.html
109,Miami Heat,2008,2008,/players/a/ahearbl01.html
110,San Antonio Spurs,2009,2009,/players/a/ahearbl01.html
111,Utah Jazz,2012,2012,/players/a/ahearbl01.html
112,Boston Celtics,1982,1989,/players/a/aingeda01.html
113,Sacramento Kings,1989,1990,/players/a/aingeda01.html
114,Portland Trail Blazers,1991,1992,/players/a/aingeda01.html
115,Phoenix Suns,1993,1995,/players/a/aingeda01.html
116,Indiana Pacers,1968,1968,/players/a/aitchma01.html
117,Charlotte Bobcats,2009,2010,/players/a/ajincal01.html
118,Dallas Mavericks,2011,2011,/players/a/ajincal01.html
119,Toronto Raptors,2011,2011,/players/a/ajincal01.html
120,New Orleans Pelicans,2014,2014,/players/a/ajincal01.html
121,New Orleans Pelicans,2014,2017,/players/a/ajincal01.html
122,New York Knicks,1967,1967,/players/a/akinhe01.html
123,Seattle SuperSonics,1968,1968,/players/a/akinhe01.html
124,Dallas Mavericks,2013,2013,/players/a/akognjo01.html
125,Denver Nuggets,2019,2019,/players/a/akoonde01.html
126,Toronto Raptors,2011,2012,/players/a/alabiso01.html
127,Denver Nuggets,1987,1987,/players/a/alarima01.html
128,Washington Bullets,1988,1991,/players/a/alarima01.html
129,Detroit Pistons,1960,1960,/players/a/alcorga01.html
130,Los Angeles Lakers,1961,1961,/players/a/alcorga01.html
131,Memphis Grizzlies,2022,2022,/players/a/aldamsa01.html
132,Philadelphia 76ers,2015,2015,/players/a/aldemfu01.html
133,Oklahoma City Thunder,2011,2012,/players/a/aldrico01.html
134,Houston Rockets,2013,2013,/players/a/aldrico01.html
135,Sacramento Kings,2013,2013,/players/a/aldrico01.html
136,New York Knicks,2014,2015,/players/a/aldrico01.html
137,Los Angeles Clippers,2016,2016,/players/a/aldrico01.html
138,Minnesota Timberwolves,2017,2018,/players/a/aldrico01.html
139,Portland Trail Blazers,2007,2015,/players/a/aldrila01.html
140,San Antonio Spurs,2016,2021,/players/a/aldrila01.html
141,Brooklyn Nets,2021,2022,/players/a/aldrila01.html
142,Golden State Warriors,1985,1985,/players/a/aleksch01.html
143,Portland Trail Blazers,2016,2016,/players/a/alexacl01.html
144,San Antonio Spurs,1996,1998,/players/a/alexaco01.html
145,Denver Nuggets,1998,2000,/players/a/alexaco01.html
146,Orlando Magic,2001,2001,/players/a/alexaco01.html
147,Charlotte Bobcats,2005,2005,/players/a/alexaco01.html
148,Dallas Mavericks,2001,2001,/players/a/alexaco02.html
149,Washington Wizards,2001,2002,/players/a/alexaco02.html
150,New Orleans Hornets,2003,2003,/players/a/alexaco02.html
151,Miami Heat,1994,1994,/players/a/alexaga01.html
152,Cleveland Cavaliers,1994,1994,/players/a/alexaga01.html
153,Milwaukee Bucks,2009,2009,/players/a/alexajo01.html
154,Chicago Bulls,2010,2010,/players/a/alexajo01.html
155,Miami Heat,2020,2020,/players/a/alexaky01.html
156,Phoenix Suns,2021,2021,/players/a/alexaty01.html
157,Golden State Warriors,1992,1995,/players/a/alexavi01.html
158,Detroit Pistons,2002,2002,/players/a/alexavi01.html
159,New Orleans Pelicans,2020,2020,/players/a/alexani01.html
160,New Orleans Pelicans,2021,2022,/players/a/alexani01.html
161,Utah Jazz,2022,2022,/players/a/alexani01.html
162,Dallas Mavericks,1988,1990,/players/a/alforst01.html
163,Dallas Mavericks,1989,1991,/players/a/alforst01.html
164,Golden State Warriors,1989,1989,/players/a/alforst01.html
165,Chicago Bulls,2019,2019,/players/a/alkinra01.html
166,Anaheim Amigos,1968,1968,/players/a/allenbi01.html
167,San Francisco Warriors,1969,1969,/players/a/allenbo01.html
168,Utah Jazz,2019,2019,/players/a/allengr01.html
169,Memphis Grizzlies,2020,2021,/players/a/allengr01.html
170,Milwaukee Bucks,2022,2022,/players/a/allengr01.html
171,Brooklyn Nets,2018,2021,/players/a/allenja01.html
172,Cleveland Cavaliers,2021,2022,/players/a/allenja01.html
173,Minnesota Timberwolves,1996,1996,/players/a/allenje01.html
174,Indiana Pacers,1997,1997,/players/a/allenje01.html
175,Denver Nuggets,1997,1997,/players/a/allenje01.html
176,Boston Celtics,2018,2018,/players/a/allenka01.html
177,New York Knicks,2019,2020,/players/a/allenka01.html
178,Philadelphia 76ers,2012,2014,/players/a/allenla01.html
179,Indiana Pacers,2014,2017,/players/a/allenla01.html
180,Seattle SuperSonics,1970,1970,/players/a/allenlu01.html
181,Milwaukee Bucks,1971,1971,/players/a/allenlu01.html
182,Milwaukee Bucks,1972,1975,/players/a/allenlu01.html
183,Los Angeles Lakers,1975,1975,/players/a/allenlu01.html
184,Los Angeles Lakers,1976,1977,/players/a/allenlu01.html
185,Kansas City Kings,1978,1979,/players/a/allenlu01.html
186,Miami Heat,2002,2005,/players/a/allenma01.html
187,Charlotte Bobcats,2005,2005,/players/a/allenma01.html
188,Chicago Bulls,2006,2007,/players/a/allenma01.html
189,New Jersey Nets,2008,2008,/players/a/allenma01.html
190,Dallas Mavericks,2008,2008,/players/a/allenma01.html
191,Milwaukee Bucks,2009,2009,/players/a/allenma01.html
192,Denver Nuggets,2010,2010,/players/a/allenma01.html
193,Orlando Magic,2011,2011,/players/a/allenma01.html
194,Sacramento Kings,1989,1990,/players/a/allenra01.html
195,Milwaukee Bucks,1997,2003,/players/a/allenra02.html
196,Seattle SuperSonics,2003,2007,/players/a/allenra02.html
197,Boston Celtics,2008,2012,/players/a/allenra02.html
198,Miami Heat,2013,2014,/players/a/allenra02.html
199,Boston Celtics,2005,2010,/players/a/allento01.html
200,Memphis Grizzlies,2011,2017,/players/a/allento01.html
201,New Orleans Pelicans,2018,2018,/players/a/allento01.html
202,Golden State Warriors,1972,1972,/players/a/allisod01.html
203,Cleveland Cavaliers,2008,2008,/players/a/allrela01.html
204,Dallas Mavericks,1981,1981,/players/a/allumda01.html
205,Utah Jazz,2008,2009,/players/a/almonmo01.html
206,Washington Wizards,2012,2012,/players/a/almonmo01.html
207,Philadelphia 76ers,1995,1996,/players/a/alstode01.html
208,Atlanta Hawks,1997,1997,/players/a/alstode01.html
209,Milwaukee Bucks,2000,2002,/players/a/alstora01.html
210,Milwaukee Bucks,2001,2001,/players/a/alstora01.html
211,Toronto Raptors,2003,2003,/players/a/alstora01.html
212,Miami Heat,2004,2004,/players/a/alstora01.html
213,Toronto Raptors,2005,2005,/players/a/alstora01.html
214,Houston Rockets,2006,2009,/players/a/alstora01.html
215,Orlando Magic,2009,2009,/players/a/alstora01.html
216,New Jersey Nets,2010,2010,/players/a/alstora01.html
217,Miami Heat,2010,2010,/players/a/alstora01.html
218,Sacramento Kings,1999,1999,/players/a/alumape01.html
219,New Orleans Pelicans,2022,2022,/players/a/alvarjo01.html
220,Cleveland Cavaliers,1996,1996,/players/a/amaecjo01.html
221,Orlando Magic,2000,2001,/players/a/amaecjo01.html
222,Utah Jazz,2002,2002,/players/a/amaecjo01.html
223,Utah Jazz,2003,2003,/players/a/amaecjo01.html
224,Vancouver Grizzlies,1996,1996,/players/a/amayaas01.html
225,Washington Bullets,1997,1997,/players/a/amayaas01.html
226,Los Angeles Clippers,2011,2011,/players/a/aminual01.html
227,New Orleans Hornets,2012,2013,/players/a/aminual01.html
228,New Orleans Pelicans,2014,2014,/players/a/aminual01.html
229,Dallas Mavericks,2015,2015,/players/a/aminual01.html
230,Portland Trail Blazers,2016,2019,/players/a/aminual01.html
231,Orlando Magic,2020,2021,/players/a/aminual01.html
232,Chicago Bulls,2021,2021,/players/a/aminual01.html
233,Utah Jazz,2007,2007,/players/a/amundlo01.html
234,Philadelphia 76ers,2007,2008,/players/a/amundlo01.html
235,Phoenix Suns,2009,2010,/players/a/amundlo01.html
236,Golden State Warriors,2011,2011,/players/a/amundlo01.html
237,Indiana Pacers,2012,2012,/players/a/amundlo01.html
238,Minnesota Timberwolves,2013,2013,/players/a/amundlo01.html
239,Chicago Bulls,2013,2014,/players/a/amundlo01.html
240,New Orleans Hornets,2013,2013,/players/a/amundlo01.html
241,New Orleans Pelicans,2014,2014,/players/a/amundlo01.html
242,Cleveland Cavaliers,2015,2015,/players/a/amundlo01.html
243,New York Knicks,2015,2015,/players/a/amundlo01.html
244,New York Knicks,2016,2016,/players/a/amundlo01.html
245,New York Knicks,1960,1960,/players/a/anderbo01.html
246,Denver Nuggets,2002,2003,/players/a/anderch01.html
247,Denver Nuggets,2004,2004,/players/a/anderch01.html
248,New Orleans Hornets,2005,2005,/players/a/anderch01.html
249,New Orleans/Oklahoma City Hornets,2006,2006,/players/a/anderch01.html
250,New Orleans Hornets,2008,2008,/players/a/anderch01.html
251,Denver Nuggets,2009,2012,/players/a/anderch01.html
252,Miami Heat,2013,2016,/players/a/anderch01.html
253,Memphis Grizzlies,2016,2016,/players/a/anderch01.html
254,Cleveland Cavaliers,2017,2017,/players/a/anderch01.html
255,Houston Rockets,2010,2010,/players/a/anderda03.html
256,Toronto Raptors,2011,2011,/players/a/anderda03.html
257,New Orleans Hornets,2011,2011,/players/a/anderda03.html
258,Charlotte Bobcats,2006,2007,/players/a/anderal01.html
259,Toronto Raptors,2012,2013,/players/a/anderal01.html
260,Brooklyn Nets,2014,2015,/players/a/anderal01.html
261,Washington Wizards,2016,2016,/players/a/anderal01.html
262,Los Angeles Clippers,2017,2017,/players/a/anderal01.html
263,Oakland Oaks,1968,1968,/players/a/anderan01.html
264,Oakland Oaks,1969,1969,/players/a/anderan01.html
265,Miami Floridians,1969,1970,/players/a/anderan01.html
266,Los Angeles Stars,1970,1970,/players/a/anderan01.html
267,Oklahoma City Thunder,2010,2010,/players/a/anderan02.html
268,Los Angeles Lakers,1968,1968,/players/a/andercl01.html
269,Los Angeles Lakers,1969,1969,/players/a/andercl01.html
270,Denver Rockets,1970,1970,/players/a/andercl01.html
271,Cleveland Cavaliers,1971,1971,/players/a/andercl01.html
272,Philadelphia 76ers,1971,1971,/players/a/andercl01.html
273,New Jersey Americans,1968,1968,/players/a/anderda01.html
274,New York Nets,1969,1969,/players/a/anderda01.html
275,Kentucky Colonels,1969,1969,/players/a/anderda01.html
276,Minnesota Pipers,1969,1969,/players/a/anderda01.html
277,Portland Trail Blazers,1975,1976,/players/a/anderda02.html
278,Cleveland Cavaliers,1998,1999,/players/a/anderde01.html
279,Los Angeles Clippers,2000,2000,/players/a/anderde01.html
280,San Antonio Spurs,2001,2001,/players/a/anderde01.html
281,Portland Trail Blazers,2002,2005,/players/a/anderde01.html
282,Houston Rockets,2006,2006,/players/a/anderde01.html
283,Miami Heat,2006,2006,/players/a/anderde01.html
284,Charlotte Bobcats,2007,2007,/players/a/anderde01.html
285,Charlotte Bobcats,2008,2008,/players/a/anderde01.html
286,Denver Nuggets,1983,1983,/players/a/anderdw01.html
287,New York Knicks,1993,1994,/players/a/anderer01.html
288,San Antonio Spurs,1988,1997,/players/a/andergr01.html
289,Milwaukee Bucks,1990,1991,/players/a/andergr01.html
290,New Jersey Nets,1991,1991,/players/a/andergr01.html
291,Denver Nuggets,1991,1992,/players/a/andergr01.html
292,Detroit Pistons,1994,1994,/players/a/andergr01.html
293,Atlanta Hawks,1995,1995,/players/a/andergr01.html
294,Atlanta Hawks,1998,1998,/players/a/andergr01.html
295,Philadelphia 76ers,1983,1983,/players/a/anderjj01.html
296,Utah Jazz,1983,1985,/players/a/anderjj01.html
297,San Antonio Spurs,2011,2012,/players/a/anderja01.html
298,San Antonio Spurs,2013,2013,/players/a/anderja01.html
299,Houston Rockets,2013,2013,/players/a/anderja01.html
300,Philadelphia 76ers,2014,2014,/players/a/anderja01.html
301,Sacramento Kings,2016,2016,/players/a/anderja01.html
302,Boston Celtics,1976,1976,/players/a/anderje01.html
303,Indiana Pacers,1977,1977,/players/a/anderje01.html
304,Indiana Pacers,1977,1977,/players/a/anderje01.html
305,Dallas Mavericks,2016,2017,/players/a/anderju01.html
306,Philadelphia 76ers,2017,2017,/players/a/anderju01.html
307,Philadelphia 76ers,2018,2018,/players/a/anderju01.html
308,Atlanta Hawks,2019,2019,/players/a/anderju01.html
309,Brooklyn Nets,2020,2020,/players/a/anderju01.html
310,Cleveland Cavaliers,2022,2022,/players/a/anderju01.html
311,Indiana Pacers,2022,2022,/players/a/anderju01.html
312,New Jersey Nets,1992,1996,/players/a/anderke01.html
313,Charlotte Hornets,1996,1996,/players/a/anderke01.html
314,Portland Trail Blazers,1997,1998,/players/a/anderke01.html
315,Boston Celtics,1998,2002,/players/a/anderke01.html
316,Seattle SuperSonics,2003,2003,/players/a/anderke01.html
317,New Orleans Hornets,2003,2003,/players/a/anderke01.html
318,Indiana Pacers,2004,2004,/players/a/anderke01.html
319,Atlanta Hawks,2005,2005,/players/a/anderke01.html
320,Los Angeles Clippers,2005,2005,/players/a/anderke01.html
321,Portland Trail Blazers,1979,1979,/players/a/anderki01.html
322,San Antonio Spurs,2015,2018,/players/a/anderky01.html
323,Memphis Grizzlies,2019,2022,/players/a/anderky01.html
324,San Antonio Spurs,1989,1989,/players/a/andermi01.html
325,Orlando Magic,1990,1996,/players/a/anderni01.html
326,Orlando Magic,1997,1999,/players/a/anderni01.html
327,Sacramento Kings,2000,2001,/players/a/anderni01.html
328,Memphis Grizzlies,2002,2002,/players/a/anderni01.html
329,San Diego Clippers,1983,1983,/players/a/anderri01.html
330,Denver Nuggets,1984,1984,/players/a/anderri01.html
331,Houston Rockets,1987,1988,/players/a/anderri01.html
332,Portland Trail Blazers,1988,1989,/players/a/anderri01.html
333,Charlotte Hornets,1990,1990,/players/a/anderri01.html
334,Cleveland Cavaliers,1985,1986,/players/a/anderro01.html
335,Indiana Pacers,1986,1988,/players/a/anderro01.html
336,Philadelphia 76ers,1989,1993,/players/a/anderro01.html
337,New Jersey Nets,1994,1994,/players/a/anderro01.html
338,Washington Bullets,1994,1994,/players/a/anderro01.html
339,New Jersey Nets,2009,2009,/players/a/anderry01.html
340,Orlando Magic,2010,2012,/players/a/anderry01.html
341,New Orleans Hornets,2013,2013,/players/a/anderry01.html
342,New Orleans Pelicans,2014,2016,/players/a/anderry01.html
343,Houston Rockets,2017,2017,/players/a/anderry01.html
344,Houston Rockets,2018,2020,/players/a/anderry01.html
345,Phoenix Suns,2019,2019,/players/a/anderry01.html
346,Miami Heat,2019,2019,/players/a/anderry01.html
347,Utah Jazz,1997,1999,/players/a/andersh01.html
348,Houston Rockets,2000,2001,/players/a/andersh01.html
349,New York Knicks,2002,2005,/players/a/andersh01.html
350,Miami Heat,2005,2006,/players/a/andersh01.html
351,San Antonio Spurs,1989,1995,/players/a/anderwi01.html
352,Toronto Raptors,1996,1996,/players/a/anderwi01.html
353,New York Knicks,1996,1996,/players/a/anderwi01.html
354,Miami Heat,1997,1997,/players/a/anderwi01.html
355,Cincinnati Royals,1970,1970,/players/a/anderwa01.html
356,Cleveland Cavaliers,2006,2006,/players/a/andrima01.html
357,New York Knicks,1955,1955,/players/a/anieldo01.html
358,Indiana Pacers,2018,2019,/players/a/anigbik01.html
359,Orlando Magic,1990,1991,/players/a/anslemi01.html
360,Philadelphia 76ers,1992,1992,/players/a/anslemi01.html
361,Charlotte Hornets,1992,1992,/players/a/anslemi01.html
362,Dallas Mavericks,1998,1999,/players/a/anstech01.html
363,Chicago Bulls,2000,2000,/players/a/anstech01.html
364,Milwaukee Bucks,2014,2015,/players/a/antetgi01.html
365,Milwaukee Bucks,2016,2022,/players/a/antetgi01.html
366,Dallas Mavericks,2019,2019,/players/a/antetko01.html
367,Los Angeles Lakers,2020,2021,/players/a/antetko01.html
368,New York Knicks,2016,2016,/players/a/antetth01.html
369,Milwaukee Bucks,2020,2022,/players/a/antetth01.html
370,Denver Nuggets,2004,2008,/players/a/anthoca01.html
371,Denver Nuggets,2009,2011,/players/a/anthoca01.html
372,New York Knicks,2011,2017,/players/a/anthoca01.html
373,Oklahoma City Thunder,2018,2018,/players/a/anthoca01.html
374,Houston Rockets,2019,2019,/players/a/anthoca01.html
375,Portland Trail Blazers,2020,2021,/players/a/anthoca01.html
376,Los Angeles Lakers,2022,2022,/players/a/anthoca01.html
377,Orlando Magic,2021,2022,/players/a/anthoco01.html
378,New York Knicks,1992,1992,/players/a/anthogr01.html
379,New York Knicks,1993,1995,/players/a/anthogr01.html
380,Vancouver Grizzlies,1996,1997,/players/a/anthogr01.html
381,Seattle SuperSonics,1998,1998,/players/a/anthogr01.html
382,Portland Trail Blazers,1999,2001,/players/a/anthogr01.html
383,Chicago Bulls,2002,2002,/players/a/anthogr01.html
384,Milwaukee Bucks,2002,2002,/players/a/anthogr01.html
385,Miami Heat,2008,2014,/players/a/anthojo01.html
386,Boston Celtics,2014,2014,/players/a/anthojo01.html
387,Detroit Pistons,2015,2016,/players/a/anthojo01.html
388,San Antonio Spurs,2017,2017,/players/a/anthojo01.html
389,Atlanta Hawks,2014,2015,/players/a/anticpe01.html
390,Toronto Raptors,2018,2020,/players/a/anunoog01.html
391,Toronto Raptors,2021,2022,/players/a/anunoog01.html
392,Orlando Magic,2016,2016,/players/a/applike01.html
393,Toronto Raptors,2005,2006,/players/a/araujra01.html
394,Utah Jazz,2007,2007,/players/a/araujra01.html
395,Memphis Grizzlies,2003,2003,/players/a/archiro01.html
396,Phoenix Suns,2004,2004,/players/a/archiro01.html
397,Orlando Magic,2004,2004,/players/a/archiro01.html
398,Toronto Raptors,2004,2004,/players/a/archiro01.html
399,Cincinnati Royals,1971,1972,/players/a/architi01.html
400,Kansas City-Omaha Kings,1973,"Omaha Kings, 1973-1974",/players/a/architi01.html
401,Kansas City-Omaha Kings,1975,"Omaha Kings, 1975",/players/a/architi01.html
402,Kansas City Kings,1976,1976,/players/a/architi01.html
403,New York Nets,1977,1977,/players/a/architi01.html
404,Boston Celtics,1979,1983,/players/a/architi01.html
405,Milwaukee Bucks,1984,1984,/players/a/architi01.html
406,Chicago Bulls,2018,2018,/players/a/arcidry01.html
407,Chicago Bulls,2019,2021,/players/a/arcidry01.html
408,New York Knicks,2022,2022,/players/a/arcidry01.html
409,New York Nets,1971,1972,/players/a/ardji01.html
410,New York Nets,1973,1973,/players/a/ardji01.html
411,Memphis Tams,1974,1974,/players/a/ardji01.html
412,Boston Celtics,1975,1978,/players/a/ardji01.html
413,Chicago Bulls,1978,1978,/players/a/ardji01.html
414,Golden State Warriors,2002,2003,/players/a/arenagi01.html
415,Washington Wizards,2004,2010,/players/a/arenagi01.html
416,Washington Wizards,2011,2011,/players/a/arenagi01.html
417,Orlando Magic,2011,2011,/players/a/arenagi01.html
418,Memphis Grizzlies,2012,2012,/players/a/arenagi01.html
419,New York Knicks,2005,2006,/players/a/arizatr01.html
420,Orlando Magic,2006,2008,/players/a/arizatr01.html
421,Los Angeles Lakers,2008,2009,/players/a/arizatr01.html
422,Houston Rockets,2010,2018,/players/a/arizatr01.html
423,New Orleans Hornets,2011,2012,/players/a/arizatr01.html
424,Washington Wizards,2013,2019,/players/a/arizatr01.html
425,Phoenix Suns,2019,2019,/players/a/arizatr01.html
426,Sacramento Kings,2020,2020,/players/a/arizatr01.html
427,Portland Trail Blazers,2020,2020,/players/a/arizatr01.html
428,Miami Heat,2021,2021,/players/a/arizatr01.html
429,Miami Heat,2021,2021,/players/a/arizatr01.html
430,Los Angeles Lakers,2022,2022,/players/a/arizatr01.html
431,Philadelphia Warriors,1951,1959,/players/a/arizipa01.html
432,Philadelphia Warriors,1960,1962,/players/a/arizipa01.html
433,Sacramento Kings,1988,1988,/players/a/arlaujo01.html
434,Chicago Bulls,1990,1995,/players/a/armstbj01.html
435,Golden State Warriors,1996,1997,/players/a/armstbj01.html
436,Golden State Warriors,1998,1998,/players/a/armstbj01.html
437,Charlotte Hornets,1998,1999,/players/a/armstbj01.html
438,Orlando Magic,1999,1999,/players/a/armstbj01.html
439,Chicago Bulls,2000,2000,/players/a/armstbj01.html
440,Philadelphia Warriors,1957,1957,/players/a/armstbo01.html
441,New Jersey Nets,2002,2004,/players/a/armstbr01.html
442,Fort Wayne Pistons,1949,1949,/players/a/armstcu01.html
443,Fort Wayne Pistons,1950,1951,/players/a/armstcu01.html
444,Orlando Magic,1995,1996,/players/a/armstda01.html
445,Orlando Magic,1997,2003,/players/a/armstda01.html
446,New Orleans Hornets,2004,2004,/players/a/armstda01.html
447,New Orleans Hornets,2005,2005,/players/a/armstda01.html
448,Dallas Mavericks,2005,2006,/players/a/armstda01.html
449,Indiana Pacers,2007,2007,/players/a/armstda01.html
450,New Jersey Nets,2008,2008,/players/a/armstda01.html
451,New Orleans/Oklahoma City Hornets,2007,2007,/players/a/armsthi01.html
452,New Orleans Hornets,2008,2008,/players/a/armsthi01.html
453,New Orleans Hornets,2009,2010,/players/a/armsthi01.html
454,Sacramento Kings,2010,2010,/players/a/armsthi01.html
455,Houston Rockets,2010,2010,/players/a/armsthi01.html
456,Washington Wizards,2011,2011,/players/a/armsthi01.html
457,Atlanta Hawks,2011,2011,/players/a/armsthi01.html
458,Golden State Warriors,2014,2014,/players/a/armsthi01.html
459,Chicago Bulls,1978,1979,/players/a/armstta01.html
460,Fort Wayne Pistons,1956,1956,/players/a/arnelje01.html
461,Fort Wayne Pistons,1956,1956,/players/a/arnelje01.html
